device_id(required),product_type(required),sku_number,model_number,sim_serial,device_imei,sdcard_serial,sdcard_size,wifi_mac,hw_version,os_version,ota_version,owner_username,device_region(required),registration_key,shipment_tracking_id(required),shipment_vendor,batch_number,bt_mac,service_provider(required),system_pn(required),device_category(required),manufacturing_partner,shipment_to_3pl,invoice_number,po_number,D2C_Sales_Order#,D2C_shipped_date_(YYYY-MM-DD),Wired_Speaker _SKU(required),Wired_Speaker_Serial_No(required),Native_Cam_SKU(required),Native_Cam_Serial_No(required)
1250730282,Octo,DE811301USA01001,D-810,890000282,890000282,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099282,ACCDC1DR20,70007282
1250730283,Octo,DE811301USA01001,D-810,890000283,890000283,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099283,ACCDC1DR20,70007283
1250730284,Octo,DE811301USA01001,D-810,890000284,890000284,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099284,ACCDC1DR20,70007284
1250730285,Octo,DE811301USA01001,D-810,890000285,890000285,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099285,ACCDC1DR20,70007285
1250730286,Octo,DE811301USA01001,D-810,890000286,890000286,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099286,ACCDC1DR20,70007286
1250730287,Octo,DE811301USA01001,D-810,890000287,890000287,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099287,ACCDC1DR20,70007287
1250730288,Octo,DE811301USA01001,D-810,890000288,890000288,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099288,ACCDC1DR20,70007288
1250730289,Octo,DE811301USA01001,D-810,890000289,890000289,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099289,ACCDC1DR20,70007289
1250730290,Octo,DE811301USA01001,D-810,890000290,890000290,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099290,ACCDC1DR20,70007290
1250730291,Octo,DE811301USA01001,D-810,890000291,890000291,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099291,ACCDC1DR20,70007291
1250730292,Octo,DE811301USA01001,D-810,890000292,890000292,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099292,ACCDC1DR20,70007292
1250730293,Octo,DE811301USA01001,D-810,890000293,890000293,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099293,ACCDC1DR20,70007293
1250730294,Octo,DE811301USA01001,D-810,890000294,890000294,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099294,ACCDC1DR20,70007294
1250730295,Octo,DE811301USA01001,D-810,890000295,890000295,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099295,ACCDC1DR20,70007295
1250730296,Octo,DE811301USA01001,D-810,890000296,890000296,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099296,ACCDC1DR20,70007296
1250730297,Octo,DE811301USA01001,D-810,890000297,890000297,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099297,ACCDC1DR20,70007297
1250730298,Octo,DE811301USA01001,D-810,890000298,890000298,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099298,ACCDC1DR20,70007298
1250730299,Octo,DE811301USA01001,D-810,890000299,890000299,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099299,ACCDC1DR20,70007299
1250730300,Octo,DE811301USA01001,D-810,890000300,890000300,,,,,,,,US,,NAZ110003,CHR,Batch 2,,TMOIOTSS,103-10-00007,NAMZ,VVDN,DCL,NA,PO480,,2025-04-12,ACCET1WRDALRTBN,330099300,ACCDC1DR20,70007300
